Site;a ;b ;c ;d;e ;Pollution;Depth;Temperature;Sediment
s1 ;0.00;2.00;9.00;14.00;2.00;4.80;72.00;3.50;S
s2 ;26.00;4.00;13.00;11.00;0.00;2.80;75.00;2.50;C
s3 ;0.00;10.00;9.00;8.00;0.00;5.40;59.00;2.70;C
s4 ;0.00;0.00;15.00;3.00;0.00;8.20;64.00;2.90;S
s5 ;13.00;5.00;3.00;10.00;7.00;3.90;61.00;3.10;C
s6 ;31.00;21.00;13.00;16.00;5.00;2.60;94.00;3.50;G
s7 ;9.00;6.00;0.00;11.00;2.00;4.60;53.00;2.90;S
s8 ;2.00;0.00;0.00;0.00;1.00;5.10;61.00;3.30;C
s9 ;17.00;7.00;10.00;14.00;6.00;3.90;68.00;3.40;C
s10 ;0.00;5.00;26.00;9.00;0.00;10.00;69.00;3.00;S
s11 ;0.00;8.00;8.00;6.00;7.00;6.50;57.00;3.30;C
s12 ;14.00;11.00;13.00;15.00;0.00;3.80;84.00;3.10;S
s13 ;0.00;0.00;19.00;0.00;6.00;9.40;53.00;3.00;S
s14 ;13.00;0.00;0.00;9.00;0.00;4.70;83.00;2.50;C
s15 ;4.00;0.00;10.00;12.00;0.00;6.70;100.00;2.80;C
s16 ;42.00;20.00;0.00;3.00;6.00;2.80;84.00;3.00;G
s17 ;4.00;0.00;0.00;0.00;0.00;6.40;96.00;3.10;C
s18 ;21.00;15.00;33.00;20.00;0.00;4.40;74.00;2.80;G
s19 ;2.00;5.00;12.00;16.00;3.00;3.10;79.00;3.60;S
s20 ;0.00;10.00;14.00;9.00;0.00;5.60;73.00;3.00;S
s21 ;8.00;0.00;0.00;4.00;6.00;4.30;59.00;3.40;C
s22 ;35.00;10.00;0.00;9.00;17.00;1.90;54.00;2.80;S
s23 ;6.00;7.00;1.00;17.00;10.00;2.40;95.00;2.90;G
s24 ;18.00;12.00;20.00;7.00;0.00;4.30;64.00;3.00;C
s25 ;32.00;26.00;0.00;23.00;0.00;2.00;97.00;3.00;G
s26 ;32.00;21.00;0.00;10.00;2.00;2.50;78.00;3.40;S
s27 ;24.00;17.00;0.00;25.00;6.00;2.10;85.00;3.00;G
s28 ;16.00;3.00;12.00;20.00;2.00;3.40;92.00;3.30;G
s29 ;11.00;0.00;7.00;8.00;0.00;6.00;51.00;3.00;S
s30 ;24.00;37.00;5.00;18.00;1.00;1.90;99.00;2.90;G
